cell_line,replicate,dna_count,rna_count,rna_dna_ratio,log2,n_obs_bc,sequence_name
HepG2,1,0.117266557652662,0.102757180996245,0.876270123837068,-0.190552423408532,142,atomic_decayed_moose
HepG2,1,0.26786113334826,0.227876037327289,0.850724532069443,-0.233236037656334,157,acrylic_native_minnow
HepG2,1,0.146433126945375,0.0993552129661297,0.678502296841569,-0.559574395475609,81,dacite_culm_bilby
HepG2,1,0.116416885900722,0.311480231922149,2.6755588719988,1.41984027381174,156,newborn_topazine_wasp
HepG2,1,0.121325386918859,0.106189284569934,0.875243733126951,-0.192243268103948,87,deathly_acardiac_wombat
HepG2,1,0.245935969563844,0.101041558222347,0.410844978884298,-1.28333395982059,159,foilable_dramatic_duck
HepG2,1,0.399816483638093,0.491303577556503,1.2288227165772,0.297276791736758,133,interior_male_hart
HepG2,1,0.178588487712652,0.645578682210876,3.61489528512952,1.85395385635691,51,baggy_balanced_cavy
HepG2,1,0.154917523463204,0.0823827432812961,0.531784535665285,-0.911086270763224,83,milky_heavy_cougar
HepG2,1,0.239915766548306,0.259949891639177,1.08350482912859,0.115705583467899,57,godly_marshy_anchovy
HepG2,1,0.297013990245113,1.00887437937174,3.39672342888345,1.76414375456623,81,phobic_citied_nandoo
HepG2,1,0.189998020511897,0.0944400500026721,0.497058073280077,-1.00851367742839,65,nonfatal_smashed_cock
HepG2,1,0.111087199751664,0.405081976719739,3.64652253027624,1.86652130790033,81,trivial_moudly_rasbora
HepG2,1,0.296394574040965,0.126752061633165,0.427646363106657,-1.22550982415329,22,brown_feudal_tick
HepG2,1,0.189308947947296,0.362166577729754,1.91309804241574,0.935910810789371,105,roseate_shelled_caribou
HepG2,1,0.209701993124283,0.471533114452037,2.24858670834176,1.1690185172214,209,academic_lunatic_eagle
HepG2,1,0.190987306286333,0.234522501397308,1.22794810795282,0.296249594925551,129,cultural_lean_gonolek
HepG2,1,0.159819633908456,0.105142492979959,0.657882203886061,-0.604098807405615,103,alchemic_fumbling_marten
HepG2,1,0.196739131575998,0.615408999579206,3.1280457255728,1.64526160202345,22,depleted_rhyolite_nandu
HepG2,1,0.225899769112224,0.135613250418259,0.600324873952784,-0.736184648836802,75,slippery_crumbly_bats
HepG2,1,0.239317395012314,0.668677439691103,2.79410295125725,1.4823851791339,48,normal_scarred_seabird
HepG2,2,0.275451366713316,0.214377465578284,0.778277008156593,-0.361644357201916,157,acrylic_native_minnow
